session_id,mean_rt,rt_std,max_rt,min_rt,lapse_count,lapse_ratio,fatigue_index,consistency_score,degradation_score,attention_label
0,400.1245319587939,74.01134461284761,810.4478048,305.2164740544935,0,0,0.08273666,0.013668748,169.6243390785842,Normal
1,405.9756295107906,92.66435197,841.6581395383025,276.03378548326737,0,0,0.09724672,0.011184443,186.48112418736648,Mild
2,491.8815965288611,46.41183920448787,583.7124738508156,393.382508,0,0,-0.025191093,0.022129308,173.23165473182348,Normal
3,563.8424226931616,86.13370840443372,984.5607911,464.8763060902944,1,0.022222222,0.051650119315580535,0.013450795,216.12052607834508,Mild
4,574.8376824055559,67.97634958,897.1589154726906,445.7978031791146,1,0.022222222,0.017723922,0.012738932,229.5632393241019,High
5,345.58771243350435,33.75403140834529,444.9069294853448,265.4716908818596,0,0,0.039650848,0.024082468,138.39162487902703,Normal
6,364.60735294207194,28.710308568019677,416.6546720074936,244.72444454348795,0,0,0.010943312961193167,0.026711611,125.25685714079904,Normal
7,498.38850610101207,66.83014292065356,794.4832977903336,393.7161739584066,0,0,-0.035652994,0.016798754,174.6094789907209,Normal
8,575.7909309134683,136.81528850022076,1036.5689285549474,424.7188681708593,3,0.066666667,0.13217125788714076,0.007763294,278.2306119062824,High
9,474.04570631040383,79.1324775,925.3395752593932,398.0021943,1,0.022222222,0.050731994,0.013223976,194.0505163493158,Mild
10,474.2872730067377,70.31662481995606,813.3580516590723,379.7422050100977,0,0,0.057824011942343316,0.016811897,195.36170269468303,Mild
11,527.5655079596687,144.3770529559576,1046.2178505093216,346.01728305961274,4,0.088888889,0.16660924952718265,0.006363045,279.0586759151772,High
12,620.7888067967411,130.64891972416856,964.9616307,473.4604430021264,3,0.066666667,0.041474168,0.008697416,268.8887500826338,Mild
13,407.9354183803232,49.79968459,516.1252366702724,378.6188385745166,0,0,-0.000847431,0.028115714,167.32799515468574,Normal
14,484.3770914295818,118.96646128768948,928.1445077,399.3651812634741,2,0.044444444,0.12773230267665386,0.008880187,246.2337998331594,High
