session_id,mean_rt,rt_std,max_rt,min_rt,lapse_count,lapse_ratio,fatigue_index,consistency_score,degradation_score,attention_label
0,387.7066781335131,72.15958924454847,810.447804762312,305.2164740544935,0.0,0.0,0.07943552210358765,0.01366874814807022,169.6243390785842,Normal
1,409.4322370400702,88.40990333218218,841.6581395383025,276.03378548326737,0.0,0.0,0.1053868269514818,0.011184443364005519,186.48112418736648,Mild
2,475.6893830763438,44.188940646479324,583.7124738508156,393.38250804167797,0.0,0.0,-0.021534322532583368,0.02212930831512887,173.23165473182348,Normal
3,525.7666762829609,73.34505027129978,984.560791099436,464.87630609029435,1.0,0.022222222222222223,0.04660741183519674,0.013450794590235696,216.12052607834508,Mild
4,580.6915167736394,77.49951338981798,897.1589154726906,445.7978031791146,1.0,0.022222222222222223,0.01250942830714599,0.01273893246999042,229.5632393241019,High
5,351.44113635723386,40.523982792930596,444.9069294853448,265.4716908818596,0.0,0.0,0.02628115727881283,0.02408246831684577,138.39162487902703,Normal
6,325.12703255438714,36.43690302072792,416.65467200749356,244.72444454348795,0.0,0.0,0.011765849957907793,0.026711611252841185,125.25685714079903,Normal
7,479.20263787218937,58.52822480202745,794.4832977903336,393.71617395840667,0.0,0.0,-0.03871750232526109,0.016798753924305524,174.6094789907209,Normal
8,587.527790561842,127.81130261627013,1036.5689285549474,424.7188681708593,3.0,0.06666666666666667,0.13654863111118407,0.007763293901149403,278.2306119062824,High
9,460.4817052207547,74.62022430309811,925.3395752593931,398.00219427550996,1.0,0.022222222222222223,0.048912095009163416,0.013223975586105616,194.0505163493158,Mild
10,485.87271532704926,58.48168815105678,813.3580516590723,379.7422050100977,0.0,0.0,0.053429151462258254,0.016811896754854182,195.36170269468306,Mild
11,539.2087517989252,156.1574616297214,1046.2178505093216,346.01728305961274,4.0,0.08888888888888889,0.16759234800172645,0.006363044997227681,279.0586759151772,High
12,614.7397500075903,113.97667860865721,964.9616306737959,473.46044300212634,3.0,0.06666666666666667,0.05951167297239805,0.008697415963837945,268.8887500826338,High
13,455.7674244967681,34.56729836832052,516.1252366702724,378.6188385745166,0.0,0.0,-0.004162140056316183,0.028115714318372047,167.32799515468574,Normal
14,527.5000372424076,111.61024131523202,928.144507659315,399.36518126347414,2.0,0.044444444444444446,0.12408668790309936,0.008880186991169664,246.2337998331594,High
15,556.8666571099567,119.56484923752647,958.5462696047695,364.81066478562303,3.0,0.06666666666666667,0.12296823502630459,0.008294291464918488,262.7215226364607,High
16,448.90031067220247,81.95503084694309,915.8922967264308,359.0981077752984,1.0,0.022222222222222223,-0.04766437483430716,0.012054723984673802,172.51543592458964,Normal
17,457.24564064813165,131.2906521385318,932.3161020623685,235.96164649388817,1.0,0.022222222222222223,0.04115490140982264,0.007559113087996742,205.534061987888,Mild
18,386.0484629480241,28.563154912563363,475.3784574459649,328.93063466051984,0.0,0.0,-0.015896279744971546,0.033825889116287554,139.078494810955,Normal
19,527.356219385888,64.62208422675947,838.3692204187385,411.8966208593107,0.0,0.0,0.05877535684848665,0.015238772309402184,212.485269211448,Mild
20,478.6817208545008,134.0120421469146,949.346243458579,265.2224553631473,1.0,0.022222222222222223,-0.19449151663174266,0.007406746717539763,166.58775395389983,Normal
21,575.9845739965047,168.13234656018443,1041.9229164413252,342.70383417375,5.0,0.1111111111111111,-0.017789974461213786,0.005912529568341073,262.2919148688022,High
22,386.0649709854088,114.84629558688783,849.9205041153006,200.0,0.0,0.0,0.0690561427852599,0.008632127552580852,177.64554229866704,Normal
23,576.0346746513641,151.09352123604287,1001.5882982265114,276.4640308810975,4.0,0.08888888888888889,-0.05809077831162803,0.006574902019975205,245.5451385524403,High
24,428.98263280385663,98.68415317826643,844.1699384242659,347.00032073679006,0.0,0.0,-0.04885206015164249,0.01003168475747281,165.04454774558795,Normal
25,383.3475445580742,59.80242287659365,708.146215664699,321.67813932418244,0.0,0.0,-0.07154419668945455,0.0164467130204602,134.8134069765835,Normal
26,498.2933610101906,159.11733384555305,997.6476048724577,239.21979593544836,2.0,0.044444444444444446,0.043053941799536796,0.0062454200053355,231.6816870637512,High
27,515.300845636912,134.99162331516357,893.2500200384685,348.61809344867623,2.0,0.044444444444444446,0.1496135365298416,0.007353394096064859,252.91479799656727,High
28,521.1760289287565,92.3125292635767,919.855577981657,415.64790177688985,1.0,0.022222222222222223,0.1557695024186417,0.010716674469034423,241.08808736913176,High
29,450.7831068839118,165.2179442511633,860.1452434095986,200.0,2.0,0.044444444444444446,0.07548247421636209,0.006016197616359351,223.06395720432124,High
30,398.9204449207058,145.17339762723665,842.4035680577392,253.57154666664653,0.0,0.0,0.1866470012968325,0.006841190095000356,213.2449053884227,Mild
31,443.98509310733584,70.41972313812782,798.8138040622332,343.2758300539998,0.0,0.0,-0.06751889222590936,0.01400173447978748,159.4959349269176,Normal
32,443.5434544355052,97.0960440672454,848.4382414471273,298.4611236793796,0.0,0.0,0.051493220460774175,0.010194091000392373,189.812864161393,Mild
